CONCESIONARIO|CODINTERNO|IDLOCALID|DIRECCION|CAPACIDAD|APROVECHAB|SERIAL|FECVIGDES|FECHAINSTA|LONGITUD|LATITUD|NOVUBICACI|FECHANOVED
Ciudad LÌmpia (ASE03)|24-0151|8|DG 57DBIS SUR CON KR 78I ESQUINA|2400|N||2025-11-01 00:00:00||-74.17386187099999|4.6080577810000705|UC|2025-03-06
Ciudad LÌmpia (ASE03)|24-0350|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2022-12-31
Ciudad LÌmpia (ASE03)|24-0460|8|CL 39B SUR CON CRA 72I BIS|2400|N||2025-11-01 00:00:00||-74.14597577199999|4.608557314000052|UC|2025-07-02
Ciudad LÌmpia (ASE03)|24-0058|8|CL 57C SUR No 77K 21|2400|N||2025-11-01 00:00:00||-74.17251661999995|4.60640580300003|UC|2019-01-18
Ciudad LÌmpia (ASE03)|24-0371|8|AV 1RA DE MAYO CON CLL 51A SUR|2400|N||2025-11-01 00:00:00||-74.17010817299996|4.6137864070000205|UC|2019-01-18
Ciudad LÌmpia (ASE03)|24-0736|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2023-02-28
Ciudad LÌmpia (ASE03)|24-0358|9|CL 19B No 107 03|2400|N||2025-11-01 00:00:00||-74.14696505799998|4.679343073000041|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0326|8|CL 54 SUR CON KR 81C|2400|N||2025-11-01 00:00:00||-74.17622008799998|4.619248747000029|UC|2025-10-17
Ciudad LÌmpia (ASE03)|24-0464|8|CL 39BISA SUR No 72K 03|2400|N||2025-11-01 00:00:00||-74.14645006399996|4.610336919000076|UC|2025-07-02
Ciudad LÌmpia (ASE03)|24-0524|9|KR 99 CON CL 20C ESQUINA|2400|N||2025-11-01 00:00:00||-74.14128788499994|4.675516547000029|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0010|9|CL 20 CON KR 99 ESQUINA|2400|N||2025-11-01 00:00:00||-74.14269637099994|4.674492113000042|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0469|9|CL 20D No 96C 44|2400|N||2025-11-01 00:00:00||-74.13844901799996|4.671527397000034|UC|2020-09-11
Ciudad LÌmpia (ASE03)|24-0999|9|CL 20A CON KR 96GBIS (ESQUINA)|2400|N||2025-11-01 00:00:00||-74.14012967799994|4.671892989000071|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0475|9|CL 17 No 99 02|2400|N||2025-11-01 00:00:00||-74.14527126999997|4.672372052000071|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0048|9|CL 17 CON KR 96G ESQUINA|2400|N||2025-11-01 00:00:00||-74.14282114299994|4.669010669000045|UC|2021-05-25
Ciudad LÌmpia (ASE03)|24-0133|9|KR 96F No 23H 89|2400|N||2025-11-01 00:00:00||-74.13215394499997|4.676654226000039|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0034|9|KR 96G No 23D 50|2400|N||2025-11-01 00:00:00||-74.13427855399993|4.676035109000054|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0308|9|KR 96HBIS No 23H 05|2400|N||2025-11-01 00:00:00||-74.13335999999998|4.678130000000067|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0032|9|CL 22K No 96F 23|2400|N||2025-11-01 00:00:00||-74.13575753899994|4.674648416000025|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0036|9|KR 96G No 23A 06|2400|N||2025-11-01 00:00:00||-74.13484937999993|4.675492655000028|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0318|9|KR 96K No 23G 98|2400|N||2025-11-01 00:00:00||-74.13376662399997|4.678489293000041|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0930|8|AK 80 No 8C 02|2400|N||2025-11-01 00:00:00||-74.14414143999994|4.642905046000067|UC|2019-02-12
Ciudad LÌmpia (ASE03)|24-0266|9|KR 118B No 22H 12|2400|N||2025-11-01 00:00:00||-74.15056999999996|4.6899700000000735|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0753|8|KR 79 No 8A 13|2400|N||2025-11-01 00:00:00||-74.14309100799994|4.64085439400003|UC|2019-02-12
Ciudad LÌmpia (ASE03)|24-0041|9|KR 96G CON CL 22H ESQUINA|2400|N||2025-11-01 00:00:00||-74.13659999999999|4.674340000000029|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0721|9|CL 22K CON KR 100 ESQUINA|2400|N||2025-11-01 00:00:00||-74.13854043299995|4.678468503000033|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0462|9|CL 22HBIS CON KR 98A ESQUINA|2400|N||2025-11-01 00:00:00||-74.13919981599997|4.676885385000048|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0149|9|CL 23 No 97 76|2400|N||2025-11-01 00:00:00||-74.13705999999996|4.677910000000054|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0063|9|KR 96C No 22A 57|2400|N||2025-11-01 00:00:00||-74.13568882899995|4.672830726000029|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0002|9|KR 96F No 22 16|2400|N||2025-11-01 00:00:00||-74.13716332199994|4.6731848160000595|UC|2020-09-09
Ciudad LÌmpia (ASE03)|24-0020|9|KR 96I No 22G 15|2400|N||2025-11-01 00:00:00||-74.13778241099999|4.674917170000072|UC|2024-07-16
Ciudad LÌmpia (ASE03)|24-0079|9|KR 96DBIS No 22G 49|2400|N||2025-11-01 00:00:00||-74.13584385599995|4.673207962000049|UC|2020-09-09
